final_rank,player,player_age,nationality,season_points,wins
101,James Jennings,33,USA,2597,0
102,Abdul Shaw S7,25,England,2588,0
103,Stephen Johnson S7,23,Australia,2567,0
104,Terence Heaney S2,29,Ireland,2541,0
105,Miguel Loyola S10,22,Chile,2528,0
106,Macauley McCluskey S8,22,Ireland,2508,0
107,Huynh Phạm S9,21,Vietnam,2500,0
108,Jason Clark S4,25,Australia,2492,0
109,Evan Dasey S9,21,Ireland,2436,0
110,Bruce Ramirez S10,20,Australia,2433,0
111,Jon Steinþórsson S10,22,Iceland,2379,0
112,Dominic Wong S10,22,England,2348,0
113,Daniel Carter S10,20,USA,2333,0
114,Brian Mccullough S10,21,USA,2279,0
115,Pavel Marošová S10,22,Slovakia,2248,0
116,Magnus Kristoffersen S10,22,Denmark,2210,0
117,George Leblanc S10,21,USA,2194,0
118,Daniel Cruz S10,20,Canada,2189,0
119,Constantin Stănescu S6,26,Romania,2119,0
120,Andrew Garrett S10,20,USA,1990,0
121,Jeffrey Alexander S10,20,USA,1925,0
122,Jorge Daniels S10,19,USA,1916,0
123,Nicolae Cristea S10,21,Romania,1872,0
124,Scott Watson S10,22,England,1794,0
125,Jonathan Walters S10,19,USA,1790,0
126,Ferenc Nagy S10,19,Hungary,1786,0
127,William Hernandez S10,22,USA,1777,0
128,Vaclav Urban S10,22,Czech Republic,1770,0
129,Arthur Carter S10,21,South Africa,1738,0
130,Kyle Cole S10,22,USA,1691,0
131,Stanley Harrison S10,22,England,1603,0
132,Bernard Dubois S10,21,Belgium,1587,0
133,Budi Mansur S10,21,Indonesia,1584,0
134,Andrea Casarin S10,20,Italy,1477,0
135,Adam Martinez S10,22,USA,1442,0
136,John Duke S10,20,USA,1440,0
137,Ronald Lambrechts S10,21,Belgium (Dutch),1389,0
138,Wolfgang Misicher S10,22,Germany,1182,0
139,Kristjan Sillisdóttir S10,20,Iceland,1155,0
140,Steven King S10,19,USA,1101,0
141,Gustav Pedersen S10,22,Norway,998,0
142,Antonio Tanzini S10,19,Italy,959,0
143,Joe Ross S10,19,Scotland,753,0
144,Magnus Svavarsson S10,19,Iceland,742,0
145,Dylan Dickinson S10,22,Scotland,713,0
146,Finbar McKelvey S10,21,Ireland,701,0
147,Callum Jones S10,21,Scotland,693,0
148,Dieter Kruschwitz S10,21,Germany,644,0
149,Matthew Kim S10,21,USA,482,0
150,William McNeely S10,21,Ireland,312,0
