final_rank,player,player_age,nationality,season_points,wins
1,Mark Estrada,29,USA,4002,0
2,Jesse West,30,USA,3862,3
3,Constantin Albu S2,25,Romania,3813,1
4,Conor Lee S5,21,Scotland,3806,1
5,Kevin Kent S2,27,USA,3744,1
6,Karoly Molnár,29,Hungary,3663,2
7,Patrick Schmitz,29,Belgium,3638,2
8,Michael Davis,27,Canada,3631,2
9,Jeffery Williams,29,USA,3622,0
10,Leslie Moore S2,26,South Africa,3616,2
11,Philip Hall S6,21,USA,3606,0
12,Bjorn Kjóisdóttir S2,27,Iceland,3599,0
13,Vasile Tomescu,29,Romania,3563,1
14,Travis Callahan S1,28,USA,3551,0
15,Manuel Manning,28,Philippines,3533,0
16,Martin Simmons,30,England,3523,0
17,Zachary Patel,29,USA,3519,1
18,Aidan Reardon,29,Ireland,3518,2
19,Kevin Hensley S4,23,USA,3495,1
20,Ryan Hubbard,27,USA,3461,1
21,Darius Grimes,29,USA,3445,0
22,Brandon Baker S5,22,USA,3428,0
23,Elliott Phillips,28,Scotland,3422,0
24,Kaur Tamm,27,Estonia,3417,0
25,Shane Harris S7,21,USA,3391,0
26,Andrew Collins,28,USA,3381,1
27,Kyle Morales,30,USA,3380,1
28,Diogo Freitas,29,Portugal,3366,1
29,Adam Franco,30,USA,3333,0
30,Pavel Čermák S4,22,Czech Republic,3330,1
31,Peter Steiger S5,24,Switzerland,3288,0
32,Jason Clark S4,22,Australia,3265,0
33,Terry Nguyen S7,21,USA,3264,0
34,Randall Miller,27,USA,3263,0
35,Patrick Bennett S6,20,Scotland,3262,0
36,Tyler Maughan,30,Ireland,3251,0
37,David Morris S6,20,USA,3246,0
38,Charles Leonard,29,USA,3236,0
39,Ethan Cox S1,26,USA,3235,0
40,Luke Clark,30,USA,3227,0
41,Harry Miles,28,England,3226,0
42,Michael Crawford,30,USA,3221,0
43,Jose Lucero,28,Argentina,3213,0
44,Damon Peterson,30,Australia,3211,0
45,Callum Davison,28,Scotland,3210,0
46,Sean Taylor S1,26,England,3128,1
47,Elliot Holmes S5,24,England,3123,0
48,Craig Smith S3,23,Australia,3113,0
49,Chad Jones S2,26,South Africa,3108,0
50,Milan Paľovčík,28,Slovakia,3105,2
51,Anders Thomsen S5,23,Denmark,3098,0
52,Michael Johnson,27,USA,3098,0
53,Anthony Reid,28,Scotland,3094,0
54,Duncan Wood,30,Scotland,3093,0
55,Mark Perry S2,24,USA,3084,1
