final_rank,player,player_age,nationality,season_points,wins
1,Andrew Collins,21,USA,4684,9
2,Mark Estrada,22,USA,4445,0
3,Randall Miller,20,USA,4375,3
4,David Munoz,21,USA,4375,0
5,Jozsef Horváth,20,Hungary,4319,2
6,Patrick Schmitz,22,Belgium,4315,2
7,Karoly Molnár,22,Hungary,4300,0
8,Kaur Tamm,20,Estonia,4235,2
9,Darius Grimes,22,USA,4233,0
10,Billy Williams,21,England,4119,0
11,Zachary Patel,22,USA,4054,3
12,Tomas Brožová,23,Czech Republic,4025,1
13,Elliott Phillips,21,Scotland,3960,0
14,Austin Love,21,USA,3941,0
15,Vasile Tomescu,22,Romania,3924,0
16,Jesse West,23,USA,3920,0
17,Sean Taylor,20,England,3919,4
18,Nicholas Taylor,20,USA,3915,1
19,Michael Johnson,20,USA,3884,0
20,Josh Boyce,21,Ireland,3837,0
21,Jeffery Williams,22,USA,3834,0
22,Cole Smith,20,USA,3831,0
23,Ethan Cox,20,USA,3813,6
24,Luis Arranz,21,Spain,3768,0
25,Michael Davis,20,Canada,3759,0
26,Dennis Lyons,23,USA,3726,0
27,Kyle Morales,23,USA,3611,0
28,Timothy Best,23,USA,3598,0
29,Diogo Freitas,22,Portugal,3596,0
30,Travis Callahan,22,USA,3586,1
31,Joe Heath,22,Scotland,3572,0
32,David Ruiz,20,USA,3553,0
33,James Dyer,20,Australia,3551,0
34,Martin Simmons,23,England,3534,0
35,Manuel Manning,21,Philippines,3520,0
36,Peter Heß,20,Germany,3515,0
37,Francisco Guajardo,22,Mexico,3513,1
38,Steven Keller,22,USA,3502,0
39,Milan Paľovčík,21,Slovakia,3500,0
40,Ferenc Kiss,22,Hungary,3436,0
41,Adam Franco,23,USA,3412,0
42,Kevin Roberts,20,USA,3404,0
43,Stephen Robinson,23,USA,3390,0
44,Timo Varis,20,Finland,3375,0
45,David Johnston,22,Australia,3363,0
46,Hans Otto,23,Netherlands,3343,0
47,Gareth Saunders,20,England,3291,0
48,James Frazier,21,USA,3286,0
49,Anthony Reid,21,Scotland,3281,0
50,Gary Jacobson,20,USA,3234,0
51,Jermaine Foster,20,USA,3210,0
52,Tony Allen,20,USA,3179,0
53,Ryan Hubbard,20,USA,3164,0
54,Harry Miles,21,England,3160,0
55,Luke Clark,23,USA,3146,0
56,Jay Montoya,23,USA,3132,0
57,Jeremy Freeman,23,Canada,3068,0
58,Charles Leonard,22,USA,3065,0
59,Widodo Ramadan,20,Indonesia,3056,0
60,Adam Milmo,22,Ireland,3055,0
61,Nathan Banks,21,USA,3048,0
62,Daniel Wagner,20,Australia,3035,0
63,Richard Wilkins,20,USA,3033,0
64,Michael Gordon,23,USA,2990,0
65,William Ortega,22,USA,2964,0
66,David Arreola,21,Mexico,2946,0
67,Tyler Maughan,23,Ireland,2938,0
68,Duncan Wood,23,Scotland,2934,0
69,Francois Lebon,20,Belgium,2922,0
70,Duane Wood,21,USA,2912,0
71,Jose Lucero,21,Argentina,2896,0
72,Francisco Silva,21,Argentina,2895,0
73,Mike Harris,20,USA,2831,0
74,Samuel Gates,22,USA,2812,0
75,Steven Acosta,23,USA,2810,0
76,Klaus Reindl,20,Austria,2806,0
77,Timothy Hamilton,23,USA,2787,0
78,Damon Peterson,23,Australia,2777,0
79,James Jennings,23,USA,2765,0
80,Dieter Mentzel,20,Germany,2754,0
81,Michael Nash,22,USA,2751,0
82,Daniel Whitaker,23,USA,2725,0
83,Deaglan Brannelly,20,Ireland,2663,0
84,Anthony Evans,23,USA,2640,0
85,Craig Jackson,20,Scotland,2623,0
86,Aidan Reardon,22,Ireland,2582,0
87,Malcolm Chambers,20,England,2538,0
88,Michael Crawford,23,USA,2524,0
89,Feargal Hanley,20,Ireland,2482,0
90,Michael Griffith,21,USA,2465,0
91,Ante Jerič,22,Slovenia,2463,0
92,Erik Palmer,22,USA,2452,0
93,Mati Soosaar,20,Estonia,2448,0
94,Charles Wilson,21,USA,2407,0
95,David Kennedy,20,New Zealand,2404,0
96,Francois Landry,23,French Canada,2307,0
97,Daniel Townsend,22,USA,2306,0
98,Callum Davison,21,Scotland,2263,0
99,Pedro Fuller,21,Philippines,2258,0
100,Ethan Mann,20,Canada,2257,0
101,Antti Eklund,21,Finland,2234,0
102,Tom Quinn,22,Scotland,2213,0
103,Zak Gilmore,22,Ireland,2205,0
104,Chris Roy,23,USA,2155,0
105,Ryan Duncan,21,USA,2116,0
106,Joseph Price,23,USA,2105,0
107,Roger Green,23,England,2079,0
108,Charles Fox,23,USA,2067,0
109,Charles Forde,21,Ireland,2016,0
110,James Russell,21,USA,1996,0
111,Timothy Barrett,21,England,1989,0
112,Michael James,23,USA,1941,0
113,Samuel Buchanan,21,USA,1929,0
114,Jay Kim,23,USA,1919,0
115,Wolfgang Speer,22,Germany,1829,0
116,Joseph Hill,20,USA,1806,0
117,Samuel Smith,21,Scotland,1736,0
118,Jerry Harris,21,USA,1683,0
119,Michael Richardson,21,USA,1608,0
120,Lewis Faulkner,22,England,1586,0
121,Budi Uyainah,23,Indonesia,1569,0
122,Gareth Bradshaw,20,Scotland,1474,0
123,Sean Cobb,22,USA,1474,0
124,Gerard Wouters,20,Belgium (Dutch),1434,0
125,Ray Stanley,22,USA,1422,0
126,Jean Perreault,21,French Canada,1367,0
127,Dennis Smith,22,USA,1355,0
128,Jonathan Gomez,20,USA,1324,0
129,Damian Norton,23,England,1285,0
130,Dennis Brown,20,USA,1238,0
131,Matthew Thomas,21,USA,1220,0
132,Geoffrey Singh,21,England,1145,0
133,John Lloyd,20,USA,1099,0
134,David Zamora,23,USA,1074,0
135,Jon Jackson,21,USA,1045,0
136,Stephen Miller,23,USA,1025,0
137,Magnus Bruun,20,Denmark,973,0
138,Klaus Winter,23,Austria,966,0
139,David Young,22,Australia,916,0
140,Ryan Pacheco,20,USA,829,0
141,Tony Holmes,20,England,797,0
142,Kristaps Pērkons,23,Latvia,769,0
143,Blake Jones,22,USA,743,0
144,Logan Patterson,23,Australia,590,0
145,Paul Cormican,20,Ireland,552,0
146,Kazys Sakalauskas,20,Lithuania,527,0
147,Saul Maloney,20,Ireland,513,0
148,Michael Jenkins,21,Canada,484,0
149,Nathaniel Roach,23,Ireland,450,0
150,Andrew Newman,21,England,380,0
