final_rank,player,player_age,nationality,season_points,wins
101,Cole Smith,23,USA,2439,0
102,Nicholas Taylor,24,USA,2438,0
103,Michael Wenger,20,Switzerland,2432,0
104,Joseph Hunt,19,USA,2418,0
105,Malcolm Chambers,24,England,2384,0
106,David Kennedy,23,New Zealand,2373,0
107,Widodo Ramadan,24,Indonesia,2371,0
108,Jay Roberts,21,Australia,2361,0
109,Edgars Turiņš,23,Latvia,2326,0
110,Klaus Frühwirth,21,Austria,2323,0
111,Robert Jones,21,Scotland,2320,0
112,Michel Charlier,19,Belgium,2315,0
113,Jose Gonzales,19,Philippines,2293,0
114,Dennis Compton,22,USA,2287,0
115,Erik Gonzalez,24,USA,2278,0
116,Kieran Day,22,England,2271,0
117,Jeffrey Fernandez,19,USA,2234,0
118,Tomasz Cegła,21,Poland,2206,0
119,Jonas Gailius,20,Lithuania,2153,0
120,Casey Gutierrez,21,USA,2107,0
121,Dieter Gieß,21,Germany,2082,0
122,Marco Lopresti,21,Italy,2074,0
123,Timothy Francis,22,USA,2022,0
124,Andre White,23,Australia,2022,0
125,William Cruz,19,USA,1950,0
126,Michael Wall,19,USA,1949,0
127,Jeffrey Wilson,22,USA,1948,0
128,Mark Berry,19,USA,1939,0
129,Gerard Boer,20,Netherlands,1885,0
130,Eric Hammond,21,England,1716,0
131,Russell Collins,22,England,1644,0
132,Daniel Doherty,20,New Zealand,1622,0
133,George Cox,21,Scotland,1601,0
134,Keith Luna,19,USA,1571,0
135,Douglas Davis,21,Australia,1551,0
136,David Velazquez,19,USA,1548,0
137,Mark Johnson,22,USA,1487,0
138,Christopher McLean,20,England,1431,0
139,Nicolas Munoz,19,USA,1422,0
140,Robert Harris,21,USA,1303,0
141,Richard Ryan,21,England,1284,0
142,Daniel Edwards,21,Scotland,1137,0
143,Jonas Kaupas,21,Lithuania,1124,0
144,Petr Miklík,19,Slovakia,1058,0
145,Ivan Jenko,20,Slovenia,1050,0
146,Jesse Garza,20,USA,1045,0
147,Jaan Kasak,21,Estonia,890,0
148,Terrence Buckley,19,Australia,862,0
149,Donald Baird,21,USA,701,0
150,William Simmons,22,South Africa,215,0
