final_rank,player,player_age,nationality,season_points,wins
1,Jesse West,27,USA,4000,3
2,Mark Estrada,26,USA,3852,0
3,Kevin Kent S2,24,USA,3833,1
4,Constantin Albu S2,22,Romania,3698,2
5,Randall Miller,24,USA,3675,3
6,Martin Simmons,27,England,3669,1
7,Karoly Molnár,26,Hungary,3659,0
8,Travis Callahan S1,25,USA,3647,1
9,Christian Henry S4,22,Belgium,3621,1
10,Manuel Manning,25,Philippines,3614,0
11,Kaur Tamm,24,Estonia,3613,2
12,Pavel Čermák S4,19,Czech Republic,3541,0
13,Ryan Hubbard,24,USA,3522,0
14,Joe Heath,26,Scotland,3517,0
15,Michael Davis,24,Canada,3516,2
16,Vasile Tomescu,26,Romania,3490,0
17,Luis Arranz,25,Spain,3460,0
18,Diogo Freitas,26,Portugal,3452,0
19,Jeffery Williams,26,USA,3443,0
20,Sean Taylor S1,23,England,3414,2
21,Leslie Moore S2,23,South Africa,3413,0
22,William Ortega,26,USA,3382,2
23,Ethan Cox S1,23,USA,3364,0
24,Patrick Schmitz,26,Belgium,3344,1
25,Milan Paľovčík,25,Slovakia,3317,1
26,Simon Wilson S3,23,Scotland,3309,0
27,Austin Love S1,24,USA,3288,1
28,Anthony Reid,25,Scotland,3279,0
29,Mark Perry S2,21,USA,3251,0
30,Francisco Guajardo S1,25,Mexico,3229,1
31,Michael Johnson,24,USA,3225,0
32,Adam Franco,27,USA,3224,0
33,Darius Grimes,26,USA,3219,0
34,Craig Smith S3,20,Australia,3212,0
35,Aidan Reardon,26,Ireland,3189,0
36,Ruari Magee S4,22,Ireland,3186,0
37,Tyler Maughan,27,Ireland,3183,0
38,Bjorn Kjóisdóttir S2,24,Iceland,3179,0
39,Andrew Collins,25,USA,3167,0
40,Adam Milmo,26,Ireland,3156,0
41,Zachary Patel,26,USA,3150,0
42,Dennis Lyons,27,USA,3147,0
43,Joseph Black S3,22,England,3144,0
44,Damon Peterson,27,Australia,3141,1
45,Elliott Phillips,25,Scotland,3117,0
46,David Johnston,26,Australia,3113,0
47,David Munoz S1,24,USA,3100,0
48,Adam Williams S4,22,USA,3089,0
49,Ante Jerič,26,Slovenia,3003,0
50,Callum Davison,25,Scotland,3000,1
51,Jose Lucero,25,Argentina,2997,0
52,Josh Boyce,25,Ireland,2988,0
53,Chad Jones S2,23,South Africa,2985,0
54,Aaron Doyle S2,21,England,2985,0
55,John Case S4,20,USA,2982,0
56,Harry Miles,25,England,2981,0
57,James Jennings,27,USA,2956,0
58,Luke Clark,27,USA,2952,0
59,Duncan Wood,27,Scotland,2942,0
60,Daniel Whitaker,27,USA,2914,0
61,Kyle Morales,27,USA,2914,0
62,Charles Leonard,26,USA,2895,1
63,Darrell Baker S4,21,USA,2856,0
64,Jeremy Freeman,27,Canada,2850,2
65,James Dennis S2,23,USA,2846,0
66,Anthony Gaines S4,22,USA,2833,0
67,Brian Bush S4,20,Australia,2807,0
68,Daniel Brown S4,20,USA,2779,0
69,Thomas Rogers S2,22,USA,2761,0
70,Robert Lee S2,24,USA,2752,0
71,Trevor Booker S2,24,USA,2749,0
72,Gareth Saunders,24,England,2745,0
73,Brandon Silva S3,23,Australia,2745,0
74,Deaglan Brannelly,24,Ireland,2744,0
75,Peter Cook S2,24,Scotland,2731,0
76,Nuno Antunes S2,22,Portugal,2722,0
77,Craig Jackson,24,Scotland,2719,0
78,David Ruiz,24,USA,2718,0
79,Terence Heaney S2,23,Ireland,2709,0
80,Wolfgang Marte S4,19,Austria,2699,0
81,Steven Keller,26,USA,2689,0
82,Juan Gaytán S4,22,Mexico,2688,0
83,Michael Crawford,27,USA,2680,1
84,Jason Clark S4,19,Australia,2678,0
85,Timo Varis,24,Finland,2677,0
86,Tomas Brožová,27,Czech Republic,2662,0
87,Samuel Gates,26,USA,2654,0
88,Michael Gordon,27,USA,2652,2
89,Frank Cole S2,23,USA,2636,0
90,Dillon Stanley S2,22,Canada,2629,0
91,Alexander Campbell S4,21,USA,2627,0
92,Christopher Dudley S2,21,Australia,2624,1
93,Jozsef Horváth,24,Hungary,2613,0
94,Kevin Roberts,24,USA,2609,1
95,Kevin Hensley S4,20,USA,2584,0
96,Christopher Ward S4,20,Australia,2570,0
97,Billy Williams S1,24,England,2563,0
98,Scott Young S4,19,USA,2528,0
99,Nathan Banks,25,USA,2480,1
100,Timothy Hamilton,27,USA,2458,0
