final_rank,player,player_age,nationality,season_points,wins
1,Patrick Schmitz,28,Belgium,4182,2
2,Kevin Kent,26,USA,4007,1
3,Mark Estrada,28,USA,3970,3
4,Kyle Morales,29,USA,3931,0
5,Aidan Reardon,28,Ireland,3767,1
6,Jeffery Williams,28,USA,3748,1
7,Darius Grimes,28,USA,3706,1
8,Zachary Patel,28,USA,3704,1
9,Jesse West,29,USA,3686,3
10,Bjorn Kjóisdóttir,26,Iceland,3681,0
11,Christian Henry,24,Belgium,3673,1
12,Diogo Freitas,28,Portugal,3670,0
13,Karoly Molnár,28,Hungary,3652,0
14,Manuel Manning,27,Philippines,3648,0
15,Brandon Baker,21,USA,3627,1
16,Michael Davis,26,Canada,3615,1
17,Conor Lee,20,Scotland,3593,0
18,Russell Warner,20,USA,3559,0
19,Travis Callahan,27,USA,3513,0
20,Leslie Moore,25,South Africa,3512,1
21,William Ortega,28,USA,3418,1
22,Adam Franco,29,USA,3365,1
23,Elliott Phillips,27,Scotland,3355,1
24,Pavel Čermák,21,Czech Republic,3337,0
25,Sean Taylor,25,England,3300,1
26,Constantin Albu,24,Romania,3298,1
27,Joe Heath,28,Scotland,3289,0
28,Anthony Reid,27,Scotland,3266,1
29,Peter Steiger,23,Switzerland,3263,0
30,Kevin Hensley,22,USA,3261,0
31,Martin Simmons,29,England,3253,1
32,Vasile Tomescu,28,Romania,3252,0
33,Ryan Hubbard,26,USA,3233,0
34,Randall Miller,26,USA,3224,0
35,Anders Thomsen,22,Denmark,3197,1
36,Daniel Whitaker,29,USA,3171,1
37,Craig Smith,22,Australia,3141,0
38,David Morris,19,USA,3140,0
39,Luis Arranz,27,Spain,3132,2
40,Andrew Collins,27,USA,3102,1
41,James Jennings,29,USA,3088,0
42,Tyler Maughan,29,Ireland,3081,1
43,Michael Johnson,26,USA,3078,0
44,Jason Clark,21,Australia,3071,0
45,Jose Lucero,27,Argentina,3058,0
46,Jeremy Freeman,29,Canada,3042,0
47,Nathan Banks,27,USA,3041,0
48,Juan Gaytán,24,Mexico,3041,0
49,Damon Peterson,29,Australia,3038,1
50,Tomas Brožová,29,Czech Republic,3036,0
51,Philip Hall,20,USA,3036,0
52,Simon Wilson,25,Scotland,3033,0
53,Milan Paľovčík,27,Slovakia,3028,1
54,Adam Milmo,28,Ireland,3016,0
55,Mark Perry,23,USA,3005,0
56,Callum Davison,27,Scotland,2999,0
57,Timo Varis,26,Finland,2990,0
58,Francisco Guajardo,27,Mexico,2989,0
59,Luke Clark,29,USA,2978,0
60,Charles Leonard,28,USA,2977,0
61,Michael Gordon,29,USA,2972,0
62,Julien Dupont,20,Belgium,2964,0
63,Duncan Wood,29,Scotland,2952,0
64,Chad Jones,25,South Africa,2925,0
65,Harry Miles,27,England,2920,0
66,Aaron Doyle,23,England,2904,0
67,Patrick Bennett,19,Scotland,2897,0
68,Jozsef Horváth,26,Hungary,2895,0
69,Billy Williams,26,England,2869,0
70,James Baker,23,USA,2855,0
71,Alexander Campbell,23,USA,2842,0
72,Elliot Holmes,23,England,2838,0
73,Terence Heaney,25,Ireland,2832,0
74,Anthony Gaines,24,USA,2828,0
75,Timothy Hamilton,29,USA,2805,0
76,Austin Love,26,USA,2800,1
77,Kaur Tamm,26,Estonia,2787,0
78,Darrell Baker,23,USA,2785,0
79,Kevin Roberts,26,USA,2782,1
80,Michael Crawford,29,USA,2764,1
81,Ethan Cox,25,USA,2756,0
82,Dennis Lyons,29,USA,2752,0
83,Antanas Žukauskas,20,Lithuania,2747,0
84,Mikael Ekholm,19,Sweden,2717,0
85,Dillon Stanley,24,Canada,2715,0
86,David Munoz,26,USA,2693,0
87,Ante Jerič,28,Slovenia,2690,0
88,Christopher Dudley,23,Australia,2667,0
89,Constantin Stănescu,22,Romania,2664,0
90,Daniel Rios,21,Canada,2646,0
91,Craig Jackson,26,Scotland,2644,0
92,Trevor Booker,26,USA,2639,0
93,Josh Boyce,27,Ireland,2629,0
94,Steven Keller,28,USA,2608,0
95,David Johnston,28,Australia,2595,0
96,John Case,22,USA,2567,0
97,Christian Leblanc,19,USA,2559,0
98,James Dennis,25,USA,2513,0
99,Brandon Silva,25,Australia,2493,0
100,Derrick Robinson,22,USA,2442,0
101,David Thomas,20,USA,2428,0
102,Krzysztof Kaszkowiak,22,Poland,2427,0
103,Samuel Gates,28,USA,2410,0
104,Christopher Ward,22,Australia,2403,0
105,Andre Bright,19,Canada,2370,0
