final_rank,player,player_age,nationality,season_points,wins
1,Kevin Kent,29,USA,3959,2
2,Juan Bird,22,USA,3870,1
3,Mark Estrada,31,USA,3841,0
4,Leslie Moore,28,South Africa,3713,0
5,Darius Grimes,31,USA,3706,0
6,Vasile Tomescu,31,Romania,3695,2
7,Conor Lee,23,Scotland,3692,1
8,Michael Davis,29,Canada,3686,1
9,Patrick Schmitz,31,Belgium,3633,1
10,Danny Taylor,19,Scotland,3619,1
11,Joe Heath,31,Scotland,3603,0
12,Eric Welch,22,USA,3583,0
13,Jesse West,32,USA,3555,3
14,Bjorn Kjóisdóttir,29,Iceland,3505,0
15,Ethan Cox,28,USA,3465,0
16,Elliott Phillips,30,Scotland,3444,0
17,Aidan Reardon,31,Ireland,3433,0
18,Kyle Morales,32,USA,3414,0
19,Philip Hall,23,USA,3409,0
20,Terry Nguyen,23,USA,3404,0
21,Manuel Manning,30,Philippines,3368,1
22,Aaron Doyle,26,England,3331,1
23,Pavel Čermák,24,Czech Republic,3313,1
24,Craig Smith,25,Australia,3305,0
25,Adam Milmo,31,Ireland,3300,1
26,Adam Franco,32,USA,3299,0
27,Charles Leonard,31,USA,3298,0
28,Zachary Patel,31,USA,3292,0
29,Jeffery Williams,31,USA,3286,0
30,Randall Miller,29,USA,3277,0
31,Harry Miles,30,England,3240,0
32,Martin Simmons,32,England,3238,1
33,Tomas Brožová,32,Czech Republic,3229,0
34,Sean Taylor,28,England,3205,0
35,Constantin Albu,27,Romania,3187,0
36,Peter Steiger,26,Switzerland,3184,2
37,Andrew Collins,30,USA,3173,0
38,Michael Jäkel,23,Germany,3172,0
39,Francisco Guajardo,30,Mexico,3163,0
40,Karoly Molnár,31,Hungary,3128,1
41,Bryan Washington,23,USA,3122,0
42,Billy Williams,29,England,3120,0
43,Luis Arranz,30,Spain,3120,0
44,Christian Henry,27,Belgium,3113,1
45,Anders Thomsen,25,Denmark,3101,1
46,Russell Warner,23,USA,3083,0
47,Diogo Freitas,31,Portugal,3065,1
48,James Dennis,28,USA,3061,0
