final_rank,player,player_age,nationality,season_points,wins
101,James Dyer,20,Australia,2234,0
102,Feargal Hanley,20,Ireland,2205,0
103,Klaus Reindl,20,Austria,2168,0
104,Daniel Wagner,20,Australia,2135,0
105,Michael Griffith S1,21,USA,2106,0
106,Erik Brandt S2,21,Denmark,2096,0
107,Ethan Mann,20,Canada,2086,0
108,Tony Allen,20,USA,2084,0
109,Ferenc Kiss S1,22,Hungary,2057,0
110,Jay Montoya,23,USA,2045,0
111,Peter Heß,20,Germany,2034,0
112,Jordan Powers S2,19,USA,2030,0
113,Stephen Robinson,23,USA,2017,0
114,Timothy Best S1,23,USA,1934,0
115,Mati Soosaar,20,Estonia,1897,0
116,Jermaine Foster S1,20,USA,1874,0
117,Charles Smith S2,19,USA,1852,0
118,Mike Harris S1,20,USA,1819,0
119,David Arreola,21,Mexico,1811,0
120,Gary Jacobson,20,USA,1809,0
121,Hans Otto S1,23,Netherlands,1747,0
122,Dieter Mentzel S1,20,Germany,1665,0
123,James Frazier S1,21,USA,1599,0
124,Charles Wilson S1,21,USA,1589,0
125,Marc Rodriguez S2,19,Australia,1537,0
126,Steven Acosta,23,USA,1529,0
127,Francisco Silva,21,Argentina,1522,0
128,Richard Wilkins S1,20,USA,1499,0
129,Francois Lebon S1,20,Belgium,1499,0
130,Anthony Evans S1,23,USA,1488,0
131,Erik Palmer,22,USA,1314,0
132,Francois Landry S1,23,French Canada,1305,0
133,Geoffrey Miller S2,21,USA,1302,0
134,William Williams S2,19,USA,1280,0
135,Pedro Fuller S1,21,Philippines,1230,0
136,Gavin Potter S2,21,England,1211,0
137,Dragan Orlić S2,21,Croatia,1207,0
138,Mark Hanson S2,21,USA,1016,0
139,Daniel Townsend S1,22,USA,990,0
140,Raivo Rosin S2,20,Estonia,886,0
141,Edwin Mercer S2,22,USA,871,0
142,Roger Garner S2,22,Scotland,751,0
143,Lewis Jones S2,22,Scotland,610,0
144,Jonathan King S2,22,USA,493,0
145,Peteris Krēsliņa S2,19,Latvia,407,0
146,Timothy Kaiser S2,22,Australia,343,0
147,George Stokes S2,19,USA,286,0
148,Blake West S2,19,USA,251,0
149,Matthew Bond S2,19,USA,221,0
150,Hans Rogge S2,21,Germany,88,0
