event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
MAJ2,1,Andrew Collins,Karoly Molnár,Jozsef Horváth,Dennis Lyons,David Ruiz,Nicholas Taylor,Zachary Patel,Stephen Robinson,Michael Griffith,Sean Taylor
MAJ2,2,Kyle Morales,Randall Miller,Patrick Schmitz,Frank Cole,Jozsef Horváth,Darius Grimes,Karoly Molnár,James Dennis,David Ruiz,Leslie Moore
MAJ2,3,Vasile Tomescu,Mark Estrada,Travis Callahan,Karoly Molnár,William Ortega,Jeffery Williams,David Kennedy,David Munoz,Malcolm Chambers,Ethan Cox
MAJ2,4,William Ortega,Diogo Freitas,Darrell Baker,Adam Williams,Ruari Magee,Adam Milmo,Anthony Gaines,Mark Estrada,Jeffrey Fernandez,Thomas Rogers
MAJ2,5,Aidan Reardon,Ante Jerič,Christopher Dudley,Karoly Molnár,Mark Estrada,Jeremy Freeman,Terence Heaney,Diogo Freitas,Adam Milmo,Leslie Moore
MAJ2,6,Adam Franco,Billy Williams,Aidan Reardon,Jason Clark,Travis Callahan,Constantin Albu,Jeffery Williams,Karoly Molnár,Ethan Cox,Philip Hall
MAJ2,7,Ryan Hubbard,Mark Estrada,Charles Leonard,Josh Boyce,Terry Nguyen,Tyler Maughan,Jose Lucero,Joe Heath,Constantin Albu,Martin Simmons
MAJ2,8,Michael Davis,Conor Lee,Manuel Manning,Constantin Albu,Jesse West,Adam Milmo,David Garcia,Kevin Hensley,Harry Miles,Martin Simmons
MAJ2,9,Adam Milmo,Dennis Lyons,James Jennings,James Dennis,Manuel Manning,Bjorn Kjóisdóttir,Darius Grimes,Duncan Wood,Joe Heath,Nathan Banks
MAJ2,10,Jesse West,Kyle Morales,Kevin Kent,James Jennings,Damon Peterson,Michael Jäkel,Jeffery Williams,Shane Harris,Evan Dasey,Conor Lee
