event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
STA06,1,Randall Miller,Austin Love,Kaur Tamm,Zachary Patel,Michael Johnson,Darius Grimes,William Ortega,Josh Boyce,Manuel Manning,Vasile Tomescu
STA06,2,Randall Miller,Leslie Moore,Aaron Doyle,Constantin Albu,Darius Grimes,Jozsef Horváth,Andrew Collins,Klaus Frühwirth,David Munoz,Travis Callahan
STA06,3,Sean Taylor,Ethan Cox,Francisco Guajardo,Karoly Molnár,Bjorn Kjóisdóttir,Darius Grimes,Travis Callahan,Jesse West,Malcolm Chambers,Leslie Moore
STA06,4,Martin Simmons,Joe Heath,Aaron Doyle,Bjorn Kjóisdóttir,James Dennis,Christopher Ward,Mark Perry,Terence Heaney,Charles Leonard,Juan Gaytán
STA06,5,Jesse West,Charles Leonard,Krzysztof Kaszkowiak,Sean Taylor,Christopher Dudley,Constantin Albu,Damon Peterson,Martin Simmons,Mark Perry,Dennis Lyons
STA06,6,Michael Davis,Manuel Manning,Russell Warner,Harry Miles,Andrew Collins,James Dennis,Christian Leblanc,Constantin Albu,Nathan Banks,Terence Heaney
STA06,7,Conor Lee,Anders Thomsen,Kevin Kent,Mark Estrada,Duncan Wood,Leslie Moore,Chad Jones,Steven Keller,Craig Smith,Randall Miller
STA06,8,John Krause,Michael Johnson,Stephen Schwartz,Martin Simmons,Manuel Manning,Philip Hall,Tyler Maughan,Constantin Albu,Mark Estrada,Peter Steiger
STA06,9,Vasile Tomescu,Mark Estrada,Danny Taylor,Milan Paľovčík,Tomas Brožová,Anders Thomsen,Oliver Smith,Antanas Žukauskas,Kevin Kent,Philip Hall
STA06,10,Pavel Čermák,Juan Bird,Tomas Brožová,Jesse West,Michael Crawford,Nathaniel Dunn,Danny Taylor,David Morris,Mark Estrada,Joe Heath
