event_code,season,first_place,second_place,third_place,fourth_place,fifth_place,sixth_place,seventh_place,eighth_place,ninth_place,tenth_place
STA09,1,Zachary Patel,Tomas Brožová,Austin Love,Vasile Tomescu,David Munoz,Mark Estrada,Sean Taylor,Billy Williams,Anthony Reid,Nicholas Taylor
STA09,2,Darius Grimes,Luis Arranz,Randall Miller,Kyle Morales,Mark Perry,Kevin Kent,Kaur Tamm,Constantin Albu,Anthony Reid,Jeffery Williams
STA09,3,Ethan Cox,Sean Taylor,Martin Simmons,Harry Miles,Jesse West,Francisco Guajardo,Nathan Banks,Vasile Tomescu,Bjorn Kjóisdóttir,William Ortega
STA09,4,Michael Crawford,Jesse West,Travis Callahan,Christian Henry,Tomas Brožová,Tyler Maughan,Martin Simmons,Luis Arranz,Nicholas Taylor,Jose Lucero
STA09,5,Craig Jackson,William Ortega,Bjorn Kjóisdóttir,Jesse West,Jozsef Horváth,Ryan Hubbard,Simon Wilson,Randall Miller,Damon Peterson,Timothy Hamilton
STA09,6,Jesse West,Ethan Cox,Karoly Molnár,Kevin Kent,Travis Callahan,David Munoz,Joe Heath,Luke Clark,Patrick Schmitz,Harry Miles
STA09,7,Anthony Gaines,Michael Johnson,Darius Grimes,Kevin Kent,Kevin Hensley,Bjorn Kjóisdóttir,Adam Milmo,Patrick Bennett,Vasile Tomescu,Elliott Phillips
STA09,8,James Jennings,Sean Taylor,Constantin Albu,Darius Grimes,Mark Estrada,Christopher Dudley,Ryan Hubbard,Darrell Baker,Peter Steiger,Eric Welch
STA09,9,Marc Marks,Patrick Schmitz,Aidan Reardon,Jeremy Freeman,Billy Williams,James Dennis,David Johnston,Steven Keller,Ethan Cox,Michael Crawford
STA09,10,Owen Taylor,Kaur Tamm,William Ortega,Joe Hayes,Nathan Banks,Oliver Smith,Jeremy Freeman,Ryan Hubbard,Danny Taylor,Jose Lucero
